                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88447,                 1.4529,                 1.4453,                0.00599,                      1,                0.02427,                0.01941,                  1.177,                  3.729,                 2.4883,             0.00018522,             0.00018522,             0.00018522
                     36,                0.68995,                 1.3244,                 1.2281,                0.00599,                      1,                0.02427,                0.01941,                  1.177,                  3.729,                 2.4883,             0.00017912,             0.00017912,             0.00017912
                     37,                0.40775,                 1.3608,                 1.1698,                0.00588,                      1,                0.02031,                0.01421,                 1.4831,                 3.8472,                 2.6523,             0.00017235,             0.00017235,             0.00017235
                     38,                0.65021,                 1.0185,                 1.0692,                0.00588,                      1,                0.02031,                0.01421,                 1.4831,                 3.8472,                 2.6523,             0.00016493,             0.00016493,             0.00016493
                     39,                0.62407,                 1.0675,                 1.1044,                0.00571,                      1,                0.02073,                0.01036,                 1.9236,                 4.0857,                 2.9123,             0.00015684,             0.00015684,             0.00015684
                     40,                0.69681,                 1.1131,                  1.055,                0.00571,                      1,                0.02073,                0.01036,                 1.9236,                 4.0857,                 2.9123,              0.0001481,              0.0001481,              0.0001481
                     41,                 1.0608,                 2.6814,                  1.656,                0.00571,                      1,                0.02211,                0.00663,                 2.3405,                 3.7984,                 3.2398,             0.00013869,             0.00013869,             0.00013869
                     42,                0.73306,                  2.227,                 1.1391,                0.00571,                      1,                0.02211,                0.00663,                 2.3405,                 3.7984,                 3.2398,             0.00012863,             0.00012863,             0.00012863
                     43,                 0.3661,                 1.2647,                 1.0369,                0.00565,                      1,                0.02314,                0.00694,                 2.3405,                 3.7651,                 3.2633,              0.0001179,              0.0001179,              0.0001179
                     44,                0.52055,                 1.6592,                  1.323,                0.00565,                      1,                0.02314,                0.00694,                 2.3405,                 3.7651,                 3.2633,             0.00010652,             0.00010652,             0.00010652
                     45,                0.59976,                 1.3647,                 1.0382,                0.00541,                      1,                0.02314,                0.00926,                 2.2912,                 3.7549,                 3.2616,             9.4472e-05,             9.4472e-05,             9.4472e-05
                     46,                0.61874,                 1.3492,                 1.0165,                0.00541,                      1,                0.02314,                0.00926,                 2.2912,                 3.7549,                 3.2616,             8.1766e-05,             8.1766e-05,             8.1766e-05
                     47,                0.39962,                 1.4338,                  1.028,                0.00538,                      1,                0.03317,                0.01327,                 2.2807,                 3.7698,                 3.1534,               6.84e-05,               6.84e-05,               6.84e-05
                     48,                0.31564,                 1.2429,                 1.0345,                0.00538,                      1,                0.03317,                0.01327,                 2.2807,                 3.7698,                 3.1534,             5.4374e-05,             5.4374e-05,             5.4374e-05
                     49,                0.83061,                 1.5422,                 1.0775,                0.00532,                      1,                 0.0398,                 0.0199,                 2.2483,                 3.7477,                 3.0786,             3.9688e-05,             3.9688e-05,             3.9688e-05
                     50,                0.66244,                 1.2918,                  1.041,                0.00532,                      1,                 0.0398,                 0.0199,                 2.2483,                 3.7477,                 3.0786,             2.4342e-05,             2.4342e-05,             2.4342e-05
